netid,section
d6cf94d6d68e9b,04
223c672524786d,04
121f0a0d0854,04
8d9085848c,04
5f42075a58,04
adabebb6b3,01
a3acffa0ad,01
716573707023,01
e8fee3ece3,03
a0b6feaba9f7,02
c5d4dfdadd8c,01
293222272571,03
706e27737827,03
2f2363343e6e,03
d2ce83dedd,01
a7afa4a7a6ff,02
9a899f989a,04
1b0f13121349,04
031748080b57,04
decad1d2d08f,01
2f202c2927,03
4a4f00414012,01
6e7832636338,04
c1d3ded4dc,04
c0cf8ad9da87,01
5a59515656,02
3e377a2227,01
51420e4b4d,03
383d2123247e,03
0506401c1e45,02
8e84c9878a,03
6266757076,01
54490a53500a,01
eef7a3e5e6,01
9491999b9dc3,04
d6dcd0d0d3,04
2e223536346d,03
dfcdc3c6ce98,01
1a02010f08,04
1d04481a1a49,03
dfd49bc1c69b,03
f6faa4f3,04
f9e1fefbff,03
322d323a346a,04
f5faf2fbfba0,01
c2d699cfcd95,03
baa1b8bbbbe3,04
9086c19496cf,01
555f5b5f5f,04
c5c99ed8de,03
b8b6a4a3a2,03
47545e565704,02
07021a141d,01
d3ca9bdadc85,02
040e550b0c,03
444806585200,02
d1cf93d1d982,03
fce8fefdf5a0,02
c4c796d4d7,04
717b747272,04
021b4e0503,02
ebfbbde0e8b8,02
bdace9b8bf,01
75757c767e27,03
f3edfaf9faa5,01
6d61316e6432,04
a1b8bab2b9,04
9291cd888e,04
3a3a70333268,02
dec2dadedf87,04
7163257279,01
203e2a2928,02
9681919f9c,02
8b8a848187,02
67772b7b7b,04
d2dbd3d0d5,04
ebf2b7ebebb3a4,03
6c656d6e683e,04
d6c6c8cecd,03
8f96d28b87d0,04
70686a6263,02
0c1e1011174b,04
fee3bdfffbac,03
f4ffe1eced,02
636c6760613e,04
dec580d7df8f,04
c0d09cc0c59b,01
cadb82d9d5,04
bcb9e4a6a4fc,01
dec3ddd2d3,02
c7dd9ac7c494,04
c1d4dedb,01
6668646765,02
14015717,04
eaecb4edea,01
373e6a3439,01
fbe9b9fffca4,02
3837202523,03
c0c5d9dfd886,02
b9adb8bcbbe4,02
3a2d3138356e,04
a5aae0bcbbef,04
bbadb4bdbd,04
6c68707077,03
5a4d06585f,04
02101e1a1343,04
8193df8b88,01
8b8a9b9497,03
5d504543461b,02
c1d5c0c1c3,03
8b8cc28089de,03
0c014b13,03
f6eefefffaa5,03
ebf5e2e0e7be,04
cfcc86c7c09c,04
62633b787921,04
2c37772628,01
4d4c05454418,03
7c6022727a21,03
58480d5351,01
6370237a7325,03
d1d28bcac997,01
